LicenseNumber,BusinessType,BusinessName,Address,City,State,ZIP Code,County,PhoneNumber,IssueDate,ExpirationDate,Classification(s),Status,SuretyCompany,ContractorBondNumber,BondEffectiveDate,BondCancellationDate,WorkersCompCoverageType,WorkersCompInsuranceCompany,WorkersCompPolicyNumber,EffectiveDate,ExpirationDate1,CancellationDate,WorkersCompSuspendDate,Contact Name,Company Email,Phone,Website,Minority / Ethnic Owned,Evidence URL,Evidence Type
965139,Sole Owner,COUNCELL HEATING AND AIR,1901 COLOSEUM WAY,ANTIOCH,CA,94531,Contra Costa,(925) 206 8095,08/31/2011,08/31/2027,C20,CLEAR,WESTERN SURETY COMPANY,63805259,01/01/2023,,Workers' Compensation Insurance,HARTFORD CASUALTY INSURANCE COMPANY,76WEGAL6C13,05/17/2025,05/17/2026,,,,,,https://councellheatingandair.com,Unknown,,
524949,Sole Owner,RESTAURANT TECHNICAL SERVICES,P O BOX 1206,CAMPBELL,CA,950091206,Santa Clara,(408) 364 3175,02/19/1988,02/28/2026,C20,CLEAR,WESTERN SURETY COMPANY,63555433,01/01/2023,,Workers' Compensation Insurance,EMPLOYERS PREFERRED INSURANCE COMPANY,EIG598210900,06/01/2025,06/01/2026,,,Kevin Mosley (CEO),,(408) 364-3175,https://rts-1098603-ca.buildzoom.com,Unknown,,
1092267,Sole Owner,LEFT COAST MECHANICAL HEATING & AIR,150 PALM VALLEY BLVD #2113,SAN JOSE,CA,95123,Santa Clara,(408) 357 4107,06/02/2022,06/30/2026,C20,CLEAR,NORTH RIVER INSURANCE COMPANY (THE),04CF626365,05/15/2024,,Workers' Compensation Insurance,VALLEY FORGE INSURANCE COMPANY,WC833364800,06/09/2025,06/09/2026,,,,,(408) 357-4107,,Unknown,,
783316,Corporation,STEVENSON MECHANICAL INC,404 7TH STREET,OAKLEY,CA,94561,Contra Costa,(925) 625 9423,08/21/2000,08/31/2026,C20,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,SC434221,01/01/2023,,Workers' Compensation Insurance,MID-CENTURY INSURANCE COMPANY,A09507578,10/01/2020,10/01/2026,,,John DiMatteo,generalmail@stevensonmechanical.com,(925) 625-9423,https://stevensonmechanical.com,Unknown,,
775532,Sole Owner,HARRISON MECHANICAL SERVICE,2717 TOLEDO AVENUE,SANTA CLARA,CA,95051,Santa Clara,(408) 690 3922,02/25/2000,02/28/2026,C20,CLEAR,,BX0036575,08/21/2023,,Workers' Compensation Insurance,CLEAR SPRING PROPERTY AND CASUALTY COMPANY,CWC01403202,01/01/2025,01/01/2026,,,Harrison Nguyen (Principal),,(408) 615-8531,,Unknown,,
1142967,Corporation,ALB CONSTRUCTION,3547 BOURNEMOUTH CT,SAN JOSE,CA,95136,Santa Clara,(408) 761 3675,09/03/2025,09/30/2027,B| C10| C20| C36,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100985871,07/21/2025,,Workers' Compensation Insurance,,JWC0700433001,08/27/2025,08/27/2026,,,,,,,Unknown,,
832879,Sole Owner,CONTROLLED SYSTEMS AIR CONDITION AND HEATING,185 CAMPOLI DRIVE,MORGAN HILL,CA,95037,Santa Clara,(408) 203 9100,02/25/2004,02/28/2026,C20,CLEAR,NORTH RIVER INSURANCE COMPANY (THE),04CF610938,01/01/2023,,Workers' Compensation Insurance,INSURANCE COMPANY OF THE WEST,WPL504797205,05/01/2024,05/01/2026,,,,,,,Unknown,,
1082013,Limited Liability,JLA HEATING AND AIR CONDITIONING LLC,124 RANCHO DR. APT. 119,SAN JOSE,CA,95111,Santa Clara,(408) 464 4495,10/03/2021,10/31/2026,C20,CLEAR,HUDSON INSURANCE COMPANY,TCS28748,10/24/2024,,Workers' Compensation Insurance,EMPLOYERS PREFERRED INSURANCE COMPANY,EIG500200203,05/25/2025,05/25/2026,,,,,,,Unknown,,
585882,Corporation,BRADY AIR CONDITIONING INC,338 NORTH CANAL ST  5,SOUTH SAN FRANCISCO,CA,94080,San Mateo,(650) 742 9640,01/19/1990,01/31/2028,C-4| C16| C20| C36| C43,CLEAR,OLD REPUBLIC SURETY COMPANY,5938975,01/01/2023,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9367736,10/01/2024,10/01/2026,,,,service@bradyair.com,650-742-9640,https://bradyair.com,Unknown,,
1103720,Corporation,MDP HEATING & COOLING INC,124 RANCHO DRIVE APT 219,SAN JOSE,CA,95111,Santa Clara,(408) 510 1299,04/19/2023,06/30/2026,C20,CLEAR,UNITED STATES FIRE INSURANCE COMPANY,615126990,03/27/2025,,Workers' Compensation Insurance,EMPLOYERS PREFERRED INSURANCE COMPANY,EIG523197602,03/29/2025,03/29/2026,,,,,,,Unknown,,
1047076,Sole Owner,PRECISION HVAC HEATING & AIR CONDITIONING,24932 MEAD WAY,HAYWARD,CA,94541,Alameda,(510) 925 0450,11/20/2018,11/30/2026,C20,CLEAR,HUDSON INSURANCE COMPANY,30050021,01/01/2023,,Workers' Compensation Insurance,CONTINENTAL CASUALTY COMPANY,7039288236,05/09/2025,05/09/2026,,,,,,,Unknown,,
1136645,Limited Liability,1ST GEN HVAC LLC,325 44TH STREET,RICHMOND,CA,94805,Contra Costa,(510) 375 9084,04/28/2025,04/30/2027,C20,CLEAR,MERCHANTS BONDING COMPANY (MUTUAL),101477629,04/22/2025,,Workers' Compensation Insurance,AMERICAN CASUALTY COMPANY OF READING PA,7039267094,04/22/2025,04/22/2026,,,,,,,Unknown,,
486084,Sole Owner,ASSOCIATED HEATING OF S F,5786 MISSION STREET,SAN FRANCISCO,CA,94112,San Francisco,(415) 585 0145,01/27/1986,01/31/2026,C20,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,SC1036244,01/01/2023,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9330105,01/01/2023,01/01/2026,,,,,,,Unknown,,
472788,Corporation,INDOOR AIR DESIGN INC,925 COMMERCIAL ST,SAN JOSE,CA,95112,Santa Clara,(408) 441 8844,04/30/1985,04/30/2027,C20,CLEAR,OLD REPUBLIC SURETY COMPANY,GCL7441807,01/23/2024,,Workers' Compensation Insurance,REPUBLIC INDEMNITY COMPANY OF AMERICA,25701303,11/15/2025,11/15/2026,,,,,,,Unknown,,
1056408,Corporation,BAY AREA REALTY AND CONSTRUCTION INC,7373 FALLENLEAF LN APT 17,CUPERTINO,CA,95014,Santa Clara,(408) 813 0158,07/30/2019,01/31/2027,B| C10| C20,CLEAR,MERCHANTS BONDING COMPANY (MUTUAL),101438550,02/14/2025,,Workers' Compensation Insurance,BERKSHIRE HATHAWAY DIRECT INSURANCE COMPANY,N9WC215578,03/26/2025,03/26/2026,,,,,,,Unknown,,
834005,Corporation,EHRET CO PLUMBING,887 71ST AVENUE,OAKLAND,CA,94621,Alameda,(510) 528 4292,03/15/2004,03/31/2026,B| C20| C36| C42,CLEAR,WESTERN SURETY COMPANY,67526469,10/28/2025,,Workers' Compensation Insurance,HARTFORD CASUALTY INSURANCE COMPANY,57WECBT7SXP,08/27/2025,08/27/2026,,,,,,,Unknown,,
814563,Corporation,A C LOGIX INCORPORATED,1241 QUARRY LANE STE 130,PLEASANTON,CA,94566,Alameda,(925) 846 9991,11/06/2002,07/31/2027,C20,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,10114664,01/01/2023,,Workers' Compensation Insurance,SECURITY NATIONAL INSURANCE COMPANY,SWC1601445,11/08/2025,11/08/2026,,,,,,,Unknown,,
904815,Sole Owner,DESIGN BUILD CONTRACTORS,166 S 24TH ST,SAN JOSE,CA,95116,Santa Clara,(408) 497 8029,10/12/2007,10/31/2027,B| C20,CLEAR,WESTERN SURETY COMPANY,66832499,02/07/2024,,Workers' Compensation Insurance,WESCO INSURANCE COMPANY,TES4555627,02/27/2025,02/27/2026,,,,,,,Unknown,,
1015348,Corporation,ELDEN PLUMBING INC,1939 21ST AVE APT #B,OAKLAND,CA,94606,Alameda,(510) 356 8917,06/21/2016,06/30/2026,C20| C36| C42,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100741082,04/14/2023,,Workers' Compensation Insurance,TECHNOLOGY INSURANCE COMPANY INC,TES4568781,03/11/2025,03/11/2026,,,,,,,Unknown,,
222277,Corporation,MARTINEZ SHEET METAL INC,4040 PACHECO BLVD,MARTINEZ,CA,94553,Contra Costa,(925) 228 3380,12/09/1963,01/31/2027,B| C-4| C20| C36| C38| C43,CLEAR,GREAT AMERICAN INSURANCE COMPANY,5443195,01/01/2023,,Workers' Compensation Insurance,,ONCC0701385602,03/01/2025,03/01/2026,,,,,,,Unknown,,
970602,Corporation,CRAYS COOLING CO,2493 OLIVE STREET,MARTINEZ,CA,94553,Contra Costa,(888) 383 4822,03/05/2012,03/31/2026,C20,CLEAR,HUDSON INSURANCE COMPANY,30026494,01/01/2023,,Workers' Compensation Insurance,TECHNOLOGY INSURANCE COMPANY INC,TWC4690496,11/04/2025,11/04/2026,,,,,,,Unknown,,
1022101,Corporation,PERFECT STAR HEATING COOLING & ELECTRICAL,2595 W 10TH ST,ANTIOCH,CA,94509,Contra Costa,(925) 550 0505,12/28/2016,03/31/2026,C10| C20,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100383450,01/01/2023,,Workers' Compensation Insurance,WESCO INSURANCE COMPANY,WEP3792751,07/01/2025,07/01/2026,,,,,,,Unknown,,
974146,Corporation,TRAUBE CONSTRUCTION COMPANY,848 EDINBURGH ST,SAN FRANCISCO,CA,94112,San Francisco,(415) 297 1396,06/21/2012,06/30/2026,B| C10| C20,CLEAR,WESTERN SURETY COMPANY,66626347,04/21/2023,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9092757,04/03/2014,04/03/2026,,,,,,,Unknown,,
1071860,Sole Owner,VINEYARD HVAC SERVICES,272 STONYFORD DR,VACAVILLE,CA,95687,Solano,(707) 450 9353,12/11/2020,12/31/2026,C20,CLEAR,MERCHANTS BONDING COMPANY (MUTUAL),101504666,05/16/2025,,Workers' Compensation Insurance,MARKEL INSURANCE COMPANY,MWC0208258,01/01/2023,01/01/2026,,,,,,,Unknown,,
1143480,Corporation,ETHICAL MECHANICAL,320 REGENCY CIR,VACAVILLE,CA,95687,Solano,(510) 259 8775,09/12/2025,09/30/2027,C-4| C10| C20| C36| C60,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100984136,08/12/2025,,Workers' Compensation Insurance,AMERICAN CASUALTY COMPANY OF READING PA,8035632113,08/25/2025,08/25/2026,,,,,,,Unknown,,
861874,Corporation,CONTROLLED SYSTEMS,3327 EDWARD AVE,SANTA CLARA,CA,95054,Santa Clara,(408) 588 1763,07/25/2005,07/31/2027,C20,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,SC6067321,01/01/2023,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9087438,01/30/2014,01/30/2026,,,,,,,Unknown,,
450929,Corporation,BAY AIR SYSTEMS INC,1300 GALAXY WAY #9,CONCORD,CA,94520,Contra Costa,(925) 356 3000,01/03/1984,01/31/2026,C-4| C10| C20| C36,CLEAR,OLD REPUBLIC SURETY COMPANY,GCL1213704,01/01/2023,12/28/2025,Workers' Compensation Insurance,CONTINENTAL INSURANCE COMPANY (THE),8035095033,10/01/2025,10/01/2026,,,,,,,Unknown,,
1062991,Corporation,LOWE'S AIR DUCT CLEANING,"1046 W TAYLOR ST,STE 208B",SAN JOSE,CA,95126,Santa Clara,(650) 844 8440,02/04/2020,02/28/2026,C20| D64,CLEAR,,JT015457,03/04/2025,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9333824,02/23/2023,02/23/2026,,,,,,,Unknown,,
1017148,Sole Owner,ENERGREEN MECHANICAL,1434 65TH AVENUE,OAKLAND,CA,94621,Alameda,(415) 725 5322,08/11/2016,08/31/2026,C20| C38,CLEAR,WESTERN SURETY COMPANY,66987671,07/22/2024,,Workers' Compensation Insurance,AMERICAN CASUALTY COMPANY OF READING PA,7039195166,02/25/2025,02/25/2026,,,,,,,Unknown,,
857921,Sole Owner,DELTA BREEZE HEATING & AIR,1566 WILDCAT WAY,OAKLEY,CA,94561,Contra Costa,(925) 825 3455,04/23/2005,04/30/2027,C20,CLEAR,WESTERN SURETY COMPANY,67478359,05/06/2025,,Workers' Compensation Insurance,SEQUOIA INSURANCE COMPANY,QWC1424650,12/16/2024,12/16/2025,,,,,,,Unknown,,
1075734,Corporation,SQUARE THREE INC,1016 S DE ANZA BLVD #E 106,SAN JOSE,CA,95129,Santa Clara,(408) 228 7302,05/12/2021,05/31/2027,B| C10| C16| C20| C36| C43,CLEAR,BUSINESS ALLIANCE INSURANCE COMPANY,G130421357713,04/21/2023,,Workers' Compensation Insurance,INSURANCE COMPANY OF THE WEST,WSA508716300,11/17/2025,11/17/2026,,,,,,,Unknown,,
944179,Sole Owner,D N HEATING & AIR CONDITIONING,15 CASTLE CT,BAY POINT,CA,94565,Contra Costa,(925) 289 2977,03/08/2010,03/31/2026,C20,CLEAR,WESTERN SURETY COMPANY,66924359,03/10/2024,,Workers' Compensation Insurance,MID-CENTURY INSURANCE COMPANY,A09516017,02/02/2024,02/02/2026,,,,,,,Unknown,,
919756,Partnership,AIS HEATING AND AIR CONDITIONING,76 WRIGHT BROTHERS AVE,LIVERMORE,CA,94551,Alameda,(510) 792 4328,07/23/2008,07/31/2026,B| C20,CLEAR,WESTERN SURETY COMPANY,66742139,09/01/2023,,Workers' Compensation Insurance,EVEREST PREMIER INSURANCE COMPANY,7600026715251,03/12/2025,03/12/2026,,,,,,,Unknown,,
735465,Corporation,KOCHER JOE PLUMBING INC,255 N SAN TOMAS AQUINO ROAD,CAMPBELL,CA,95008,Santa Clara,(408) 378 8860,04/28/1997,04/30/2027,C-4| C20| C36| C42,CLEAR,HUDSON INSURANCE COMPANY,30116973,03/10/2023,,Workers' Compensation Insurance,WESCO INSURANCE COMPANY,WEP3809867,10/01/2025,10/01/2026,,,,,,,Unknown,,
753319,Corporation,PRO TEMP MECHANICAL INC,3350 SCOTT BLVD BLG 3,SANTA CLARA,CA,95054,Santa Clara,(408) 244 9821,08/25/1998,08/31/2026,C20| C38,CLEAR,WESTERN SURETY COMPANY,62010711,01/01/2023,,Workers' Compensation Insurance,TRAVELERS PROPERTY CASUALTY COMPANY OF AMERICA,UB4K296464252SG,05/01/2025,05/01/2026,,,,,,,Unknown,,
1052043,Corporation,T T CONSTRUCTION INC,2622 MOZART AVENUE,SAN JOSE,CA,95122,Santa Clara,(408) 807 6238,04/05/2019,04/30/2027,B| C10| C20| C36,CLEAR,NORTH RIVER INSURANCE COMPANY (THE),04CF617435,03/25/2023,,Workers' Compensation Insurance,WESCO INSURANCE COMPANY,SWC1561867,05/14/2025,05/14/2026,,,,,,,Unknown,,
1005143,Corporation,HOMETOWN HEATING AND AIR CONDITIONING,4075 NELSON AVE STE D,CONCORD,CA,94520,Contra Costa,(925) 933 9333,07/02/2015,12/31/2026,C20,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100755217,06/12/2023,,Workers' Compensation Insurance,CYPRESS INSURANCE COMPANY,HOWC626520,06/01/2025,06/01/2026,,,,,,,Unknown,,
864882,Sole Owner,KONTROL SYSTEM INTEGRATOR,P O BOX 611693,SAN JOSE,CA,95161,Santa Clara,(408) 914 8204,09/26/2005,03/31/2026,C20,CLEAR,OHIO CASUALTY INSURANCE COMPANY (THE),999145551,01/01/2023,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9321900,06/01/2023,07/28/2026,,,,,,,Unknown,,
737079,Corporation,FAULT LINE PLUMBING INC,7640 NATIONAL DRIVE,LIVERMORE,CA,94550,Alameda,(925) 443 6450,06/12/1997,12/31/2026,C-4| C16| C20| C36,CLEAR,WESTERN SURETY COMPANY,67405017,05/06/2025,,Workers' Compensation Insurance,SENTINEL INSURANCE COMPANY LTD,57WEAAW2U2B,03/11/2023,03/11/2026,,,,,,,Unknown,,
1031063,Corporation,FERREIRA'S HEATING AND AIR CONDITIONING INC,1792 PIEDMONT DR,CONCORD,CA,94519,Contra Costa,(925) 306 2865,09/15/2017,09/30/2027,C20,CLEAR,WESTERN SURETY COMPANY,66713354,07/05/2023,,Workers' Compensation Insurance,MARKEL INSURANCE COMPANY,MWC013577308,09/28/2025,09/28/2026,,,,,,,Unknown,,
915017,Corporation,SUISUN VALLEY SHEET METAL INC,P O BOX 1937,SUISUN CITY,CA,94585,Solano,(707) 426 5493,04/30/2008,04/30/2026,C20| C43,CLEAR,MERCHANTS BONDING COMPANY (MUTUAL),100084738,05/12/2023,,Workers' Compensation Insurance,EMPLOYERS PREFERRED INSURANCE COMPANY,EIG497527203,04/15/2025,04/15/2026,,,,,,,Unknown,,
1059577,Corporation,ABSOLUTE AIR SOLUTIONS,26349 REGAL AVE,HAYWARD,CA,94544,Alameda,(510) 901 7166,10/23/2019,03/31/2027,C20,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100535953,01/01/2023,,Workers' Compensation Insurance,EMPLOYERS PREFERRED INSURANCE COMPANY,EIG585886700,01/24/2025,01/24/2026,,,,,,,Unknown,,
1140726,Sole Owner,HAC CONTROL,31 APPLEGATE LN,OAKLEY,CA,94561,Contra Costa,(925) 687 8968,07/21/2025,07/31/2027,C20,CLEAR,NATIONWIDE MUTUAL INSURANCE COMPANY,7901205293,05/21/2025,,Workers' Compensation Insurance,WESCO INSURANCE COMPANY,WWC3789642,05/22/2025,05/22/2026,,,,,,,Unknown,,
705148,Corporation,GRACE HEATING AND AIR INC,712 BANCROFT ROAD 916,WALNUT CREEK,CA,94598,Contra Costa,(925) 453 1315,04/13/1995,05/31/2027,C20,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100746673,05/16/2023,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9357858,04/16/2024,04/16/2026,,,,,,,Unknown,,
937133,Sole Owner,A CLIMATE CONTROL,307 SNOW EGRET DRIVE,VACAVILLE,CA,95687,Solano,(707) 816 1776,08/28/2009,08/31/2027,C20,CLEAR,MERCHANTS BONDING COMPANY (MUTUAL),101576834,09/16/2025,,Workers' Compensation Insurance,CONTINENTAL CASUALTY COMPANY,7039167335,01/30/2025,01/30/2026,,,,,,,Unknown,,
488066,Corporation,SOLAR CENTER INC,1185 O'BRIEN DRIVE,MENLO PARK,CA,94025,San Mateo,(650) 327 3200,03/06/1986,03/31/2026,B| C10| C17| C20| C46| D12,CLEAR,WESTERN SURETY COMPANY,65693838,01/01/2023,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,9372625,01/01/2025,01/01/2026,,,,,,,Unknown,,
481360,Corporation,ACKLEY SHEETMETAL INC,1532 W WINTON AVE,HAYWARD,CA,94545,Alameda,(510) 760 9879,10/21/1985,10/31/2027,C20| C43,CLEAR,WESTERN SURETY COMPANY,66778640,10/20/2023,,"Leasing Firm, Temp Agency, etc",,WC07200043025,01/01/2023,01/01/2026,,,,,,,Unknown,,
979330,Corporation,AUTOMATED SOLUTIONS GROUP INC,2150 BERING DR,SAN JOSE,CA,95131,Santa Clara,(408) 432 0300,12/12/2012,12/31/2026,C20,CLEAR,HARCO NATIONAL INSURANCE COMPANY,0866752,01/01/2025,,Workers' Compensation Insurance,XL INSURANCE AMERICA INC,RWD300147606,04/01/2025,04/01/2026,,,,,,,Unknown,,
1136093,Sole Owner,KEVINN'S AIR CONDITIONING AND HEATERS,1016 WEST ST,PITTSBURG,CA,94565,Contra Costa,(925) 497 2553,04/17/2025,04/30/2027,C20,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100927097,01/30/2025,,Workers' Compensation Insurance,AMERICAN CASUALTY COMPANY OF READING PA,WC739206327,02/28/2025,02/28/2026,,,,,,,Unknown,,
1146809,Corporation,360 GENERAL CONTRACTOR PLUMBING HVA C & ELECTRICAL,400 EL CAMINO REAL #118,BELMONT,CA,94002,San Mateo,(818) 261 1446,11/24/2025,11/30/2027,C10| C20| C36,CLEAR,MERCHANTS BONDING COMPANY (MUTUAL),101677616,10/28/2025,,Workers' Compensation Insurance,ENDURANCE ASSURANCE CORPORATION,EAW0000445400,11/12/2025,11/12/2026,,,,,,,Unknown,,
1066538,Corporation,COMFORT ECO A/C INC,1680 POMONA AVE,SAN JOSE,CA,95110,Santa Clara,(408) 766 8899,06/29/2020,06/30/2026,C20,CLEAR,BUSINESS ALLIANCE INSURANCE COMPANY,G130519156506,06/05/2023,,Workers' Compensation Insurance,HARTFORD CASUALTY INSURANCE COMPANY,57WECAM7KG7,08/09/2023,08/09/2026,,,,,,,Unknown,,
539313,Corporation,R & J CONSTRUCTION INC,2880 CAMINO TASSAJARA,DANVILLE,CA,94506,Contra Costa,(925) 648 7942,08/26/1988,08/31/2026,B| C20,CLEAR,OHIO CASUALTY INSURANCE COMPANY (THE),363105C,01/01/2023,,Workers' Compensation Insurance,REPUBLIC INDEMNITY COMPANY OF CALIFORNIA,25826201,11/12/2025,11/12/2026,,,,,,,Unknown,,
1015224,Sole Owner,WALBURGER MATTHEW M,PO BOX 1645,MARTINEZ,CA,94550,Contra Costa,(510) 220 2000,06/16/2016,06/30/2026,C20,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100312032,01/01/2023,,Workers' Compensation Insurance,CLEAR SPRING PROPERTY AND CASUALTY COMPANY,CWC01847302,04/17/2025,04/17/2026,,,,,,,Unknown,,
1143099,Corporation,HVAC SERVICE STAR INC,1194 CENTRAL AVENUE,LIVERMORE,CA,94551,Alameda,(214) 949 9141,09/05/2025,09/30/2027,C20,CLEAR,OHIO CASUALTY INSURANCE COMPANY (THE),999431671,09/03/2025,,Workers' Compensation Insurance,MARKEL INSURANCE COMPANY,MWC0241698,08/22/2025,08/22/2026,,,,,,,Unknown,,
1051108,Corporation,JOHNSON'S INSULATION,1721 BROADWAY STE 201,OAKLAND,CA,94612,Alameda,(510) 660 0455,03/11/2019,03/31/2027,C-2| C20| D64,CLEAR,AMERICAN CONTRACTORS INDEMNITY COMPANY,100955045,05/01/2025,,Workers' Compensation Insurance,BERKSHIRE HATHAWAY DIRECT INSURANCE COMPANY,CP140205399P2024,02/29/2024,02/28/2026,,,,,,,Unknown,,
